date,closing,volume,opening,highest,lowest,daily_movement,year,month
2021-08-25,711.2,12645560,707.03,716.97,704.0,4.170000000000073,2021,8
2021-08-24,708.49,13083070,710.68,715.22,702.64,-2.189999999999941,2021,8
2021-08-23,706.3,20264860,685.442,712.1299,680.7505,20.857999999999947,2021,8
2021-08-20,680.26,14841870,682.85,692.1299,673.7,-2.590000000000032,2021,8
2021-08-19,673.47,14313490,678.21,686.55,667.59,-4.740000000000009,2021,8
2021-08-18,688.99,20349380,669.748,695.77,669.35,19.241999999999962,2021,8
2021-08-17,665.71,23721280,672.66,674.58,648.84,-6.949999999999932,2021,8
2021-08-16,686.17,23103300,705.07,709.5,676.4,-18.90000000000009,2021,8
2021-08-13,717.17,16731470,723.71,729.9,714.34,-6.540000000000077,2021,8
2021-08-12,722.25,17681690,706.34,722.8,699.4,15.909999999999968,2021,8
2021-08-11,707.82,9800558,712.71,715.18,704.21,-4.889999999999986,2021,8
2021-08-10,709.99,13432310,713.99,716.59,701.88,-4.0,2021,8
2021-08-09,713.76,14715350,710.17,719.03,705.13,3.590000000000032,2021,8
2021-08-06,699.1,15623050,711.9,716.33,697.63,-12.799999999999955,2021,8
2021-08-05,714.63,12919640,716.0,720.9499,711.41,-1.3700000000000045,2021,8
2021-08-04,710.92,17002650,711.0,724.9,708.93,-0.08000000000004093,2021,8
2021-08-03,709.74,21620250,719.0,722.65,701.01,-9.259999999999991,2021,8
2021-08-02,709.67,33615770,700.0,726.94,698.4,9.669999999999959,2021,8
2021-07-30,687.2,29656410,671.758,697.53,669.0,15.442000000000007,2021,7
2021-07-29,677.35,30394640,649.79,683.69,648.8,27.56000000000006,2021,7
2021-07-28,646.98,16006600,646.995,654.9699,639.4001,-0.014999999999986358,2021,7
2021-07-27,644.78,32813290,663.4,666.5,627.24,-18.620000000000005,2021,7
2021-07-26,657.62,25336560,650.97,668.1999,647.11,6.649999999999977,2021,7
2021-07-23,643.38,14604940,646.36,648.8,637.3001,-2.980000000000018,2021,7
2021-07-22,649.26,15105730,656.4428,662.17,644.6001,-7.182800000000043,2021,7
2021-07-21,655.29,13953340,659.61,664.8599,650.2901,-4.32000000000005,2021,7
2021-07-20,660.5,15487130,651.99,662.3916,640.501,8.509999999999991,2021,7
2021-07-19,646.22,21297090,629.89,647.1999,621.29,16.33000000000004,2021,7
2021-07-16,644.22,16370970,654.68,656.6999,642.2,-10.459999999999923,2021,7
2021-07-15,650.6,20209570,658.39,666.14,637.88,-7.789999999999964,2021,7
2021-07-14,653.38,21641190,670.75,678.6099,652.84,-17.370000000000005,2021,7
2021-07-13,668.54,20966090,686.32,693.28,666.2958,-17.780000000000086,2021,7
2021-07-12,685.7,25927040,662.2,687.24,662.161,23.5,2021,7
2021-07-09,656.95,18140550,653.185,658.91,644.69,3.7650000000001,2021,7
2021-07-08,652.81,22773320,628.37,654.43,620.46,24.43999999999994,2021,7
2021-07-07,644.65,18791960,664.27,665.7,638.32,-19.620000000000005,2021,7
2021-07-06,659.58,23284450,681.7115,684.0,651.4002,-22.13149999999996,2021,7
2021-07-02,678.9,27097370,678.98,700.0,673.26,-0.08000000000004093,2021,7
2021-07-01,677.92,18634520,683.92,687.99,672.8,-6.0,2021,7
2021-06-30,679.7,18924860,679.77,692.81,678.14,-0.06999999999993634,2021,6
2021-06-29,680.76,17381310,684.65,687.5099,675.89,-3.8899999999999864,2021,6
2021-06-28,688.72,21628160,671.64,694.6999,670.32,17.08000000000004,2021,6
2021-06-25,671.87,32496710,689.58,693.81,668.7,-17.710000000000036,2021,6
2021-06-24,679.82,45982390,674.99,697.62,667.61,4.830000000000041,2021,6
2021-06-23,656.57,31099230,632.0,657.204,630.04,24.57000000000005,2021,6
2021-06-22,623.71,19158890,618.25,628.5693,615.5,5.460000000000036,2021,6
2021-06-21,620.83,24812740,624.48,631.39,608.88,-3.6499999999999773,2021,6
2021-06-18,623.31,24560910,613.37,628.35,611.8,9.93999999999994,2021,6
2021-06-17,616.6,22701350,601.888,621.47,601.34,14.711999999999989,2021,6
2021-06-16,604.87,22144130,597.535,608.5,593.5,7.335000000000036,2021,6
2021-06-15,599.36,17764150,616.69,616.79,598.23,-17.33000000000004,2021,6
2021-06-14,617.69,20423980,612.23,625.49,609.18,5.460000000000036,2021,6
2021-06-11,609.89,16205300,610.23,612.56,601.52,-0.34000000000003183,2021,6
2021-06-10,610.12,23919610,603.88,616.59,600.5,6.240000000000009,2021,6
2021-06-09,598.78,16584570,602.17,611.79,597.6301,-3.3899999999999864,2021,6
2021-06-08,603.59,26053410,623.01,623.09,595.5,-19.41999999999996,2021,6
2021-06-07,605.13,22543680,591.825,610.0,582.88,13.30499999999995,2021,6
2021-06-04,599.05,24036900,579.71,600.61,577.2,19.339999999999918,2021,6
2021-06-03,572.84,30111890,601.8,604.55,571.22,-28.959999999999923,2021,6
2021-06-02,605.12,23302780,620.13,623.36,599.14,-15.009999999999991,2021,6
2021-06-01,623.9,18084890,627.8,633.8,620.55,-3.8999999999999773,2021,6
2021-05-28,625.22,22737040,628.5,635.59,622.38,-3.2799999999999727,2021,5
2021-05-27,630.85,26370590,620.24,631.13,616.21,10.610000000000014,2021,5
2021-05-26,619.13,28639310,607.56,626.17,601.5,11.57000000000005,2021,5
2021-05-25,604.69,28005930,607.31,613.99,595.71,-2.619999999999891,2021,5
2021-05-24,606.44,34558090,581.6,614.48,573.65,24.840000000000032,2021,5
2021-05-21,580.88,26030600,596.11,596.68,580.0,-15.230000000000018,2021,5
2021-05-20,586.78,30821120,575.0,588.85,571.07,11.779999999999973,2021,5
2021-05-19,563.46,39578400,552.55,566.21,546.98,10.910000000000082,2021,5
2021-05-18,577.87,36830570,568.0,596.25,563.38,9.870000000000005,2021,5
2021-05-17,576.83,32247800,575.553,589.73,561.2,1.2770000000000437,2021,5
2021-05-14,589.74,33370860,583.41,592.87,570.46,6.330000000000041,2021,5
2021-05-13,571.69,44184920,601.545,606.4599,559.65,-29.854999999999905,2021,5
2021-05-12,589.89,33823650,602.49,620.41,586.765,-12.600000000000023,2021,5
2021-05-11,617.2,46503900,599.24,627.0999,595.6,17.960000000000036,2021,5
2021-05-10,629.04,31392420,664.9,665.05,627.6101,-35.860000000000014,2021,5
2021-05-07,672.37,23469170,665.8,690.0,660.22,6.57000000000005,2021,5
2021-05-06,663.54,27784620,680.76,681.02,650.0,-17.220000000000027,2021,5
2021-05-05,670.94,21901890,681.06,685.2955,667.34,-10.11999999999989,2021,5
2021-05-04,673.6,29739320,678.94,683.4464,657.701,-5.340000000000032,2021,5
2021-05-03,684.9,27043140,703.8,706.0,680.5,-18.899999999999977,2021,5
2021-04-30,709.44,40758720,667.59,715.47,666.14,41.85000000000002,2021,4
2021-04-29,677.0,28845450,699.51,702.25,668.5002,-22.50999999999999,2021,4
2021-04-28,694.4,22271050,696.41,708.5,693.6,-2.009999999999991,2021,4
2021-04-27,704.74,29437000,717.96,724.0,703.3501,-13.220000000000027,2021,4
2021-04-26,738.2,31038500,741.0,749.3,732.6053,-2.7999999999999545,2021,4
2021-04-23,729.4,28413890,719.8,737.36,715.46,9.600000000000023,2021,4
2021-04-22,719.69,35590260,741.5,753.77,718.04,-21.809999999999945,2021,4
2021-04-21,744.12,31215510,704.77,744.84,698.0,39.35000000000002,2021,4
2021-04-20,718.99,35609040,717.42,737.25,710.685,1.57000000000005,2021,4
2021-04-19,714.63,39686230,719.6,725.4,691.8001,-4.970000000000027,2021,4
2021-04-16,739.78,27979530,728.65,749.41,724.6,11.129999999999995,2021,4
2021-04-15,738.85,27848900,743.1,743.69,721.31,-4.25,2021,4
2021-04-14,732.23,49017430,770.7,780.79,728.03,-38.47000000000003,2021,4
2021-04-13,762.32,44652810,712.7,763.0,710.66,49.620000000000005,2021,4
2021-04-12,701.98,29135670,685.7,704.8,682.09,16.279999999999973,2021,4
2021-04-09,677.02,21437090,677.77,680.97,669.43,-0.75,2021,4
2021-04-08,683.8,23924330,677.38,689.5499,671.645,6.419999999999959,2021,4
2021-04-07,670.97,26309430,687.0,691.38,667.84,-16.029999999999973,2021,4
2021-04-06,691.62,28271840,690.3,696.55,681.37,1.32000000000005,2021,4
2021-04-05,691.05,41842770,707.71,708.16,684.7,-16.660000000000082,2021,4
2021-04-01,661.75,35298380,688.37,692.4203,659.42,-26.620000000000005,2021,4
2021-03-31,667.93,33337290,646.62,672.0,641.11,21.309999999999945,2021,3
2021-03-30,635.62,39432360,601.75,637.66,591.01,33.870000000000005,2021,3
2021-03-29,611.29,28636990,615.64,616.48,596.02,-4.350000000000023,2021,3
2021-03-26,618.71,33852830,641.87,643.82,599.89,-23.159999999999968,2021,3
2021-03-25,640.39,39224850,613.0,645.5,609.5,27.389999999999986,2021,3
2021-03-24,630.27,33795170,667.91,668.02,630.11,-37.639999999999986,2021,3
2021-03-23,662.16,30491870,675.77,677.8,657.51,-13.610000000000014,2021,3
2021-03-22,670.0,39512220,684.59,699.62,668.75,-14.590000000000032,2021,3
2021-03-19,654.87,42893980,646.6,657.23,624.6201,8.269999999999982,2021,3
2021-03-18,653.16,33369020,684.29,689.23,652.0,-31.129999999999995,2021,3
2021-03-17,701.81,40372450,656.87,703.73,651.01,44.93999999999994,2021,3
2021-03-16,676.88,32195670,703.35,707.92,671.0,-26.470000000000027,2021,3
2021-03-15,707.94,29423480,694.09,713.18,684.04,13.850000000000023,2021,3
2021-03-12,693.73,33583840,670.0,694.88,666.1394,23.730000000000018,2021,3
2021-03-11,699.6,36253890,699.4,702.5,677.18,0.20000000000004547,2021,3
2021-03-10,668.06,60605670,700.3,717.85,655.06,-32.24000000000001,2021,3
2021-03-09,673.58,67523330,608.18,678.09,595.21,65.40000000000009,2021,3
2021-03-08,563.0,51786960,600.55,620.125,558.79,-37.549999999999955,2021,3
2021-03-05,597.95,89396460,626.06,627.8419,539.49,-28.1099999999999,2021,3
2021-03-04,621.44,65919530,655.8,873.94,600.0,-34.3599999999999,2021,3
2021-03-03,653.2,30207960,687.99,700.7,651.705,-34.789999999999964,2021,3
2021-03-02,686.44,23732160,718.28,721.11,685.0,-31.839999999999918,2021,3
2021-03-01,718.43,27136240,690.11,872.0,685.05,28.319999999999936,2021,3
2021-02-26,675.5,41089170,700.0,706.7,659.51,-24.5,2021,2
